# GENERATED by Hercules/tools/gen-hunts.py
# quest_id	kind	hunt_zone	npc	map	x	y
20002	hunt	prt_sewb1-3	Quartermaster Wynne	prontera	156	191
20003	hunt	prt_fild07	Quartermaster Wynne	prontera	156	191
20008	hunt	pay_fild02/06	Sun-Hwa	payon	181	104
20009	hunt	pay_dun00	Sun-Hwa	payon	181	104
20014	hunt	moc_fild01/02	Rashid the Guide	morocc	159	97
20015	hunt	anthell01	Rashid the Guide	morocc	159	97
20016	hunt	in_sphinx1/2	Rashid the Guide	morocc	159	97
20020	hunt	gef_dun00	Apprentice Elsbeth	geffen	120	100
20021	hunt	gef_fild03/10	Apprentice Elsbeth	geffen	120	100
20022	hunt	mjolnir_11	Apprentice Elsbeth	geffen	120	100
20027	hunt	iz_dun03	Captain Mara	alberta	184	150
20028	hunt	treasure01/02	Captain Mara	alberta	184	150
20103	hunt	yuno_fild03/04	Doctor Ingrid Vahl	yuno	155	185
20104	hunt	juperos_01/jupe_core	Doctor Ingrid Vahl	yuno	155	185
20105	hunt	yuno_fild03	Doctor Ingrid Vahl	yuno	155	185
20113	hunt	ein_dun01	Greta Holm	einbroch	145	230
20114	hunt	ein_fild06/07	Greta Holm	einbroch	145	230
20115	hunt	ein_dun01/02	Greta Holm	einbroch	145	230
20122	hunt	gl_knt01/02	Sir Aldric Unfrocked	geffen	120	120
20123	hunt	gl_chyard/gl_church	Sir Aldric Unfrocked	geffen	120	120
20132	hunt	ice_dun02/03	Acolyte Naima	rachel	120	120
20133	hunt	ice_dun02	Acolyte Naima	rachel	120	120
20142	hunt	lhz_dun01/02	Doctor Sabine Reuter	lighthalzen	120	120
20143	hunt	kh_dun01/02	Doctor Sabine Reuter	lighthalzen	120	120
20153	hunt	hu_fild02	Priest Eadric	hugel	100	100
20154	hunt	abyss_01/02/03	Priest Eadric	hugel	100	100
20163	hunt	spl_fild01/bif_fild01	Envoy Aelith	mid_camp	100	100
20164	hunt	spl_fild01/03	Envoy Aelith	mid_camp	100	100
20173	hunt	abbey01	Father Quill	nameless_i	100	100
20174	hunt	abbey01/02	Father Quill	nameless_i	100	100
20183	hunt	thor_v01/02	Foreman Dunmar	veins	100	100
20184	hunt	ve_fild03/07	Foreman Dunmar	veins	100	100
20192	hunt	tha_t07/08	Keeper Lysandra	aldebaran	100	100
20193	hunt	tha_t08/09/11	Keeper Lysandra	aldebaran	100	100
20202	hunt	gl_prison1	Kronecker G Heine	prontera	150	150
20203	hunt	prt_maze02/prt_fild08	Kronecker G Heine	prontera	150	150
20212	hunt	kh_dun01/kh_kiehl01	Doctor Mira Tressa	ba_in01	100	100
20213	hunt	lhz_dun04	Doctor Mira Tressa	ba_in01	100	100
20222	hunt	nif_fild01/02	The Familiar Dead	niflheim	100	100
20223	hunt	nif_fild01/02	The Familiar Dead	niflheim	100	100
20232	hunt	moc_pryd04/moc_fild16	Loki The Voice	moc_ruins	150	150
20001	story		Quartermaster Wynne	prontera	156	191
20005	story		Tibbets the Keeper	prontera	146	193
20006	story		Mira	prontera	150	37
20007	story		Sun-Hwa	payon	181	104
20012	story		Scholar Voss	pay_dun04	120	115
20013	story		Rashid the Guide	morocc	159	97
20017	story		Osiris's Court	moc_pryd04	91	83
20018	story		Amon Ra's Lid	moc_pryd06	102	85
20019	story		Apprentice Elsbeth	geffen	120	100
20023	story		Archmagus Doran	gef_dun02	205	205
20024	story		Brother Cassell	gef_dun02	218	210
20025	story		Captain Mara	alberta	184	150
20029	story		Smuggler-Baron Brode	alberta	101	65
20030	story		Deep Trench Wake	tur_dun04	99	93
20101	story		Doctor Ingrid Vahl	yuno	155	185
20102	story		Director Aldous Krenn	yuno	160	185
20111	story		Greta Holm	einbroch	145	230
20112	story		Supervisor Kessler	einbroch	160	200
20121	story		Sir Aldric Unfrocked	geffen	120	120
20124	story		Brother Manfred	gl_in01	120	120
20131	story		Acolyte Naima	rachel	120	120
20134	story		High Prelate Karsh	rachel	130	120
20141	story		Doctor Sabine Reuter	lighthalzen	120	120
20144	story		Director Hallan Reise	lighthalzen	130	120
20151	story		Priest Eadric	hugel	100	100
20155	story		Zealot Bjorn	hugel	110	100
20161	story		Envoy Aelith	mid_camp	100	100
20165	story		Captain Vance	mid_camp	110	100
20171	story		Father Quill	nameless_i	100	100
20175	story		The Broker Carrion	nameless_i	110	100
20181	story		Foreman Dunmar	veins	100	100
20185	story		Prelate Hesma	veins	110	100
20191	story		Keeper Lysandra	aldebaran	100	100
20194	story		Scholar Pratt	aldebaran	110	100
20201	story		Kronecker G Heine	prontera	150	150
20204	story		Matron Rina	prt_q	100	100
20211	story		Doctor Mira Tressa	ba_in01	100	100
20214	story		The Administrator	ba_in01	110	100
20221	story		The Familiar Dead	niflheim	100	100
20231	story		Loki The Voice	moc_ruins	150	150
20233	story		The Central Choice	moc_fild22	175	140
