# GENERATED by Hercules/tools/gen-hunts.py from db/dm_hunt_db.json.
# quest_id	name	item_id:count[,item_id:count...]
20002	Contract: Cellar Vermin	1016:7,1052:7,955:3
20003	Field Contract: Rockers and Rumors	940:10,919:10,752:3
20008	Mushroom Ring Patrol	921:13,906:9,511:10
20009	Bone Tag Turn-In	932:4,957:7,938:5
20014	Caravan Water Debt	952:13,925:13,713:4
20015	Ant Hell Survey	935:3,955:10,1040:6
20016	Sphinx Night Watch	1002:3,7006:10,919:9
20020	Tower Apprentice Drills	7033:13,938:9,943:9
20021	Orc Village Bounty	931:13,7053:8,519:8
20022	Argiope Silk Run	1042:9,1025:13,1032:13
20027	Byalan Tide Contract	956:16,963:16,962:11
20028	Sunken Ship Manifest	932:6,955:9,1059:9
20103	Harpy Weather Log	7115:12,7106:6,1032:7
20104	Juperos Parts Requisition	7317:5,7319:5,7095:8
20105	Norgroad Heat Index	7124:8,997:5,713:8
20113	Factory Whistle Shift	7318:6,7001:6,1052:6
20114	Metaling Scrap Drive	7325:10,7312:6,1018:6
20115	Mine Dust Medicine	6244:3,7321:4,7315:4
20122	Outer Garrison	7054:8,1097:8,1064:9
20123	Fallen Choir	1059:9,912:8,7005:6
20132	Ice Core Samples	7561:9,7066:2,6253:2
20133	Hollow Blessings	6256:3,991:2,6257:3
20142	Lab Infiltration	7345:4,7347:7,7319:6
20143	Lower Level Sweep	7507:6,7512:5,7047:5
20153	Gryphon Vigil	7048:8,7053:3,1033:7
20154	Dragon Pack Dispersal	1036:7,1035:5,7123:5
20163	New World Cornus Survey	6023:10,943:4,7100:6
20164	Naga Border Patrol	954:7,7008:6,7188:4
20173	Abbey Bell Silencing	7751:6,7005:8,528:8
20174	Sanctum Sweep	7752:9,932:6,7117:3
20183	Volcanic Salamander Hunt	7097:9,7122:4,7098:4
20184	Lava Golem Firebreak	7565:9,1032:4,7312:3
20192	What the Tower Remembers	1097:8,728:2,722:2
20193	Aldebaran Last Letters	723:3,718:3,7440:2
20202	Underground Prison Cleanup	1099:10,1098:5,7053:5
20203	Terra Gloria	948:13,910:4,705:10
20212	Sages Legacy	7054:7,7507:4,6214:3
20213	Tartaros Dive	7345:5,7347:5,6470:2
20222	The Dead You Failed	7210:9,7220:5,7214:5
20223	Banquet Hall Procession	7218:10,7217:5,7216:4
20232	Beyond the Veil	930:10,936:6,1056:6
