# Generated by tools/export_job_names.py from Hercules db/constants.conf.
# id	name
0	Novice
1	Swordman
2	Mage
3	Archer
4	Acolyte
5	Merchant
6	Thief
7	Knight
8	Priest
9	Wizard
10	Blacksmith
11	Hunter
12	Assassin
13	Knight
14	Crusader
15	Monk
16	Sage
17	Rogue
18	Alchemist
19	Bard
20	Dancer
21	Crusader
22	Wedding
23	SuperNovice
24	Gunslinger
25	Ninja
26	Xmas
27	Summer
4001	Novice High
4002	Swordman High
4003	Mage High
4004	Archer High
4005	Acolyte High
4006	Merchant High
4007	Thief High
4008	Lord Knight
4009	High Priest
4010	High Wizard
4011	Whitesmith
4012	Sniper
4013	Assassin Cross
4014	Lord Knight
4015	Paladin
4016	Champion
4017	Professor
4018	Stalker
4019	Creator
4020	Clown
4021	Gypsy
4022	Paladin
4023	Baby
4024	Baby Swordman
4025	Baby Mage
4026	Baby Archer
4027	Baby Acolyte
4028	Baby Merchant
4029	Baby Thief
4030	Baby Knight
4031	Baby Priest
4032	Baby Wizard
4033	Baby Blacksmith
4034	Baby Hunter
4035	Baby Assassin
4036	Baby Knight
4037	Baby Crusader
4038	Baby Monk
4039	Baby Sage
4040	Baby Rogue
4041	Baby Alchemist
4042	Baby Bard
4043	Baby Dancer
4044	Baby Crusader
4045	Super Baby
4046	Taekwon
4047	Star Gladiator
4048	Star Gladiator
4049	Soul Linker
4050	Gangsi
4051	Death Knight
4052	Dark Collector
4054	Rune Knight
4055	Warlock
4056	Ranger
4057	Arch Bishop
4058	Mechanic
4059	Guillotine Cross
4060	Rune Knight T
4061	Warlock T
4062	Ranger T
4063	Arch Bishop T
4064	Mechanic T
4065	Guillotine Cross T
4066	Royal Guard
4067	Sorcerer
4068	Minstrel
4069	Wanderer
4070	Sura
4071	Genetic
4072	Shadow Chaser
4073	Royal Guard T
4074	Sorcerer T
4075	Minstrel T
4076	Wanderer T
4077	Sura T
4078	Genetic T
4079	Shadow Chaser T
4080	Rune Knight
4081	Rune Knight T
4082	Royal Guard
4083	Royal Guard T
4084	Ranger
4085	Ranger T
4086	Mechanic
4087	Mechanic T
4096	Baby Rune
4097	Baby Warlock
4098	Baby Ranger
4099	Baby Bishop
4100	Baby Mechanic
4101	Baby Cross
4102	Baby Guard
4103	Baby Sorcerer
4104	Baby Minstrel
4105	Baby Wanderer
4106	Baby Sura
4107	Baby Genetic
4108	Baby Chaser
4109	Baby Rune
4110	Baby Guard
4111	Baby Ranger
4112	Baby Mechanic
4190	Super Novice E
4191	Super Baby E
4211	Kagerou
4212	Oboro
4215	Rebellion
4218	Summoner
4220	Baby Summoner
4222	Baby Ninja
4223	Baby Kagerou
4224	Baby Oboro
4225	Baby Taekwon
4226	Baby Star Gladiator
4227	Baby Soul Linker
4228	Baby Gunslinger
4229	Baby Rebellion
4238	Baby Star Gladiator
4239	Star Emperor
4240	Soul Reaper
4241	Baby Star Emperor
4242	Baby Soul Reaper
