# GENERATED by Hercules/tools/export_quest_locations.py from npc scripts.
# quest_id	npc	map	x	y	hunt_zone	source
1000	Valkyrie	valkyrie	48	86		npc/jobs/valkyrie.txt
1001	Cleric	prt_church	184	41		npc/pre-re/jobs/1-1/acolyte.txt
1002	Cleric	prt_church	184	41		npc/pre-re/jobs/1-1/acolyte.txt
1003	Cleric	prt_church	184	41		npc/pre-re/jobs/1-1/acolyte.txt
1004	Archer Guildsman	payon_in02	64	71		npc/pre-re/jobs/1-1/archer.txt
1005	Mage Guildsman	geffen_in	164	124		npc/pre-re/jobs/1-1/mage.txt
1006	Mage Guildsman	geffen_in	164	124		npc/pre-re/jobs/1-1/mage.txt
1007	Mage Guildsman	geffen_in	164	124		npc/pre-re/jobs/1-1/mage.txt
1008	Mage Guildsman	geffen_in	164	124		npc/pre-re/jobs/1-1/mage.txt
1009	Merchant	alberta_in	53	43		npc/pre-re/jobs/1-1/merchant.txt
1010	Merchant	alberta_in	53	43		npc/pre-re/jobs/1-1/merchant.txt
1011	Merchant	alberta_in	53	43		npc/pre-re/jobs/1-1/merchant.txt
1012	Merchant	alberta_in	53	43		npc/pre-re/jobs/1-1/merchant.txt
1013	Thief Guide	moc_prydb1	39	129		npc/pre-re/jobs/1-1/thief.txt
1014	Swordman	izlude_in	74	172		npc/pre-re/jobs/1-1/swordman.txt
1100	Alonie	alberta	120	206	in_sphinx1	npc/quests/newgears/2010_headgears.txt
1101	Alonie	alberta	120	206	in_sphinx1	npc/quests/newgears/2010_headgears.txt
1102			0	0	gl_dun01	quest_db
1103			0	0	alde_dun02	quest_db
1104	Alonie	alberta	120	206		npc/quests/newgears/2010_headgears.txt
1105	Alonie	alberta	120	206	lou_dun03	npc/quests/newgears/2010_headgears.txt
1106	Alonie	alberta	120	206	ama_dun02	npc/quests/newgears/2010_headgears.txt
1107	Alonie	alberta	120	206	ama_dun01	npc/quests/newgears/2010_headgears.txt
1108	Alonie	alberta	120	206	lou_dun03	npc/quests/newgears/2010_headgears.txt
1109	Euridi	mora	117	66		npc/re/quests/quests_mora.txt
1110	Euridi	mora	117	66		npc/re/quests/quests_mora.txt
1111	Euridi	mora	117	66		npc/re/quests/quests_mora.txt
1112	Euridi	mora	117	66		npc/re/quests/quests_mora.txt
1113	Euridi	mora	117	66		npc/re/quests/quests_mora.txt
1114	Euridi	mora	117	66		npc/re/quests/quests_mora.txt
1115	Euridi	mora	117	66		npc/re/quests/quests_mora.txt
1116	Euridi	mora	117	66		npc/re/quests/quests_mora.txt
1117	Euridi's Friend	mora	115	68		npc/re/quests/quests_mora.txt
1118	Knights Head	mora	114	163		npc/re/quests/quests_mora.txt
1119	Knights Boss	mora	116	165		npc/re/quests/quests_mora.txt
1145	Gobonge	malangdo	175	206		npc/re/quests/quests_malangdo.txt
1146	A Foolish Cat	malangdo	197	120		npc/re/quests/quests_malangdo.txt
1147	A Foolish Cat	malangdo	197	120		npc/re/quests/quests_malangdo.txt
1148	A Foolish Cat	malangdo	197	120		npc/re/quests/quests_malangdo.txt
1149	Awfully Suspious Dealer	malangdo	171	163		npc/re/quests/quests_malangdo.txt
1150	Gozangee	mal_in02	184	72		npc/re/quests/quests_malangdo.txt
1151	Awfully Suspious Dealer	malangdo	171	163		npc/re/quests/quests_malangdo.txt
1152	Gobonge	malangdo	175	206		npc/re/quests/quests_malangdo.txt
1153	Gobonge	malangdo	175	206		npc/re/quests/quests_malangdo.txt
1154	Patrol Leader	malangdo	125	147	mal_dun01	npc/re/quests/quests_malangdo.txt
1155	Patrol Leader	malangdo	125	147		npc/re/quests/quests_malangdo.txt
1174	Old Legend Teller	malaya	285	332		npc/re/quests/quests_malaya.txt
1175	Old Man's Granddaughter	malaya	304	100		npc/re/quests/quests_malaya.txt
1176	Old Legend Teller	malaya	285	332		npc/re/quests/quests_malaya.txt
1177	Malaya Immigrant	ma_fild02	40	240		npc/re/quests/quests_malaya.txt
1178	Malaya Immigrant	ma_fild01	165	237		npc/re/quests/quests_malaya.txt
1179	Malaya Immigrant	ma_fild01	165	237		npc/re/quests/quests_malaya.txt
1180	Village Chief	malaya	283	265	ma_dun01	npc/re/quests/quests_malaya.txt
1181	Missing Person's Father	malaya	269	267	ma_dun01	npc/re/quests/quests_malaya.txt
1182	Missing Person's Friend	malaya	265	274	ma_dun01	npc/re/quests/quests_malaya.txt
1183	Missing Person's Son	malaya	270	278	ma_dun01	npc/re/quests/quests_malaya.txt
1184	Missing Person's Mother	malaya	265	284		npc/re/quests/quests_malaya.txt
1185	Village Chief	malaya	283	265		npc/re/quests/quests_malaya.txt
1186	Young Fortune Teller	malaya	289	364	ma_fild01	npc/re/quests/quests_malaya.txt
1187	Young Fortune Teller	malaya	289	364		npc/re/quests/quests_malaya.txt
1188	Village Chief	malaya	283	265		npc/re/quests/quests_malaya.txt
1189	Gruffy Worker	ma_fild01	54	253		npc/re/quests/quests_malaya.txt
1190	Grumpy Worker	ma_fild01	236	119		npc/re/quests/quests_malaya.txt
1191	Cowardly Worker	ma_scene01	177	89		npc/re/quests/quests_malaya.txt
1192	Gloomy Worker	ma_scene01	141	118		npc/re/quests/quests_malaya.txt
1193	Sentimental Worker	ma_scene01	175	170		npc/re/quests/quests_malaya.txt
1214	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1215	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1216	Professor Worm	ecl_tdun04	26	39	ecl_fild01	npc/re/quests/quests_eclage.txt
1217	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1218	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1219	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1220	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1221	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1222	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
