# schema=1
# from_map	from_x	from_y	to_map	to_x	to_y	one_way	gated	reserved	source
aldebaran	140	244	yuno_fild01	208	19	0	0	0	npc/re/warps/fields/yuno_fild.txt:85
arena_room	99	24	izlude	209	161	0	0	0	npc/re/warps/other/arena.txt:40
bif_fild01	318	48	splendide	271	382	0	0	0	npc/re/warps/fields/bif_fild.txt:37
bif_fild01	318	159	dali	43	92	0	1	0	npc/re/warps/other/dimensional_gap.txt:60
bif_fild02	292	351	ecl_fild01	205	76	0	0	0	npc/re/warps/cities/eclage.txt:39
bra_dun01	199	35	bra_dun02	261	263	0	0	0	npc/re/warps/dungeons/bra_dun.txt:35
bra_dun02	261	265	bra_dun01	199	37	0	0	0	npc/re/warps/dungeons/bra_dun.txt:36
bra_fild01	72	34	brasilis	309	334	0	0	0	npc/re/warps/fields/bra_fild.txt:35
bra_in01	9	67	bra_in01	154	22	0	0	0	npc/re/warps/cities/brasilis.txt:53
bra_in01	17	134	brasilis	148	161	0	0	0	npc/re/warps/cities/brasilis.txt:40
bra_in01	25	70	bra_in01	32	26	0	0	0	npc/re/warps/cities/brasilis.txt:58
bra_in01	31	29	bra_in01	23	70	0	0	0	npc/re/warps/cities/brasilis.txt:57
bra_in01	31	74	bra_in01	148	59	0	0	0	npc/re/warps/cities/brasilis.txt:59
bra_in01	39	7	brasilis	273	151	0	0	0	npc/re/warps/cities/brasilis.txt:50
bra_in01	50	145	bra_in01	81	143	0	0	0	npc/re/warps/cities/brasilis.txt:41
bra_in01	50	171	bra_in01	82	168	0	0	0	npc/re/warps/cities/brasilis.txt:43
bra_in01	52	27	bra_in01	85	26	0	0	0	npc/re/warps/cities/brasilis.txt:51
bra_in01	52	67	bra_in01	87	66	0	0	0	npc/re/warps/cities/brasilis.txt:55
bra_in01	79	142	bra_in01	47	144	0	0	0	npc/re/warps/cities/brasilis.txt:42
bra_in01	79	169	bra_in01	46	170	0	0	0	npc/re/warps/cities/brasilis.txt:44
bra_in01	83	27	bra_in01	50	27	0	0	0	npc/re/warps/cities/brasilis.txt:52
bra_in01	85	67	bra_in01	50	66	0	0	0	npc/re/warps/cities/brasilis.txt:56
bra_in01	138	174	bra_in01	12	183	0	0	0	npc/re/warps/cities/brasilis.txt:45
bra_in01	148	57	bra_in01	31	72	0	0	0	npc/re/warps/cities/brasilis.txt:60
bra_in01	156	23	bra_in01	11	65	0	0	0	npc/re/warps/cities/brasilis.txt:54
bra_in01	206	98	bra_in01	138	176	0	0	0	npc/re/warps/cities/brasilis.txt:46
brasilis	146	162	bra_in01	17	137	0	0	0	npc/re/warps/cities/brasilis.txt:39
brasilis	274	153	bra_in01	38	9	0	0	0	npc/re/warps/cities/brasilis.txt:49
brasilis	308	336	bra_fild01	74	34	0	0	0	npc/re/warps/fields/bra_fild.txt:36
cmd_fild01	222	24	cmd_fild02	222	372	0	0	0	npc/re/warps/fields/com_fild.txt:36
cmd_fild01	362	73	cmd_fild03	27	68	0	0	0	npc/re/warps/fields/com_fild.txt:37
cmd_fild01	362	263	cmd_fild03	27	269	0	0	0	npc/re/warps/fields/com_fild.txt:38
cmd_fild02	222	376	cmd_fild01	222	30	0	0	0	npc/re/warps/fields/com_fild.txt:39
cmd_fild02	358	95	cmd_fild04	35	94	0	0	0	npc/re/warps/fields/com_fild.txt:41
cmd_fild02	382	269	cmd_fild04	25	275	0	0	0	npc/re/warps/fields/com_fild.txt:40
cmd_fild03	23	68	cmd_fild01	359	76	0	0	0	npc/re/warps/fields/com_fild.txt:43
cmd_fild03	23	269	cmd_fild01	359	260	0	0	0	npc/re/warps/fields/com_fild.txt:42
cmd_fild03	181	17	cmd_fild04	181	367	0	0	0	npc/re/warps/fields/com_fild.txt:44
cmd_fild04	21	275	cmd_fild02	378	264	0	0	0	npc/re/warps/fields/com_fild.txt:46
cmd_fild04	31	92	cmd_fild02	351	92	0	0	0	npc/re/warps/fields/com_fild.txt:47
cmd_fild04	180	372	cmd_fild03	183	23	0	0	0	npc/re/warps/fields/com_fild.txt:49
cmd_fild04	376	287	cmd_fild06	26	288	0	0	0	npc/re/warps/fields/com_fild.txt:48
cmd_fild06	21	285	cmd_fild04	371	288	0	0	0	npc/re/warps/fields/com_fild.txt:53
cmd_fild06	151	27	cmd_fild07	147	370	0	0	0	npc/re/warps/fields/com_fild.txt:54
cmd_fild06	368	96	cmd_fild08	25	102	0	0	0	npc/re/warps/fields/com_fild.txt:55
cmd_fild06	372	359	cmd_fild08	31	359	0	0	0	npc/re/warps/fields/com_fild.txt:57
cmd_fild06	379	174	cmd_fild08	28	166	0	0	0	npc/re/warps/fields/com_fild.txt:56
cmd_fild07	149	379	cmd_fild06	147	36	0	0	0	npc/re/warps/fields/com_fild.txt:58
cmd_fild07	389	186	cmd_fild09	18	170	0	0	0	npc/re/warps/fields/com_fild.txt:59
cmd_fild08	15	102	cmd_fild06	361	96	0	0	0	npc/re/warps/fields/com_fild.txt:62
cmd_fild08	25	170	cmd_fild06	374	167	0	0	0	npc/re/warps/fields/com_fild.txt:61
cmd_fild08	25	355	cmd_fild06	366	359	0	0	0	npc/re/warps/fields/com_fild.txt:60
cmd_fild08	76	31	cmd_fild09	76	375	0	0	0	npc/re/warps/fields/com_fild.txt:63
cmd_fild08	309	48	cmd_fild09	307	374	0	0	0	npc/re/warps/fields/com_fild.txt:64
cmd_fild08	354	324	moc_fild12	26	305	1	0	0	npc/re/warps/fields/com_fild.txt:65
cmd_fild09	12	170	cmd_fild07	382	184	0	0	0	npc/re/warps/fields/com_fild.txt:66
cmd_fild09	75	382	cmd_fild08	75	42	0	0	0	npc/re/warps/fields/com_fild.txt:69
cmd_fild09	309	381	cmd_fild08	309	60	0	0	0	npc/re/warps/fields/com_fild.txt:68
cmd_fild09	369	164	moc_fild18	55	170	0	0	0	npc/re/warps/fields/com_fild.txt:67
cmd_in01	17	34	comodo	187	164	1	0	0	npc/re/warps/other/sign.txt:36
dali	34	139	dic_fild02	237	32	0	0	0	npc/re/warps/other/dimensional_gap.txt:79
dali	38	87	bif_fild01	318	155	0	0	0	npc/re/warps/other/dimensional_gap.txt:78
